timestamp,ShortTrend_CC,LongTrend_CC,last_BT,Before_BT,After_BT,ShortSlope_BT,BchStatus,last,id
1510561904,718386.4286,715038.3204,1132,1140.006401,1132.306375,0.157564177,0,718785,85
1510561923,718427.2381,715292.2172,1133.973834,1140.173068,1132.635347,0.334497724,0,719029,86
1510561934,718383.4286,715599.7957,1132,1139.506401,1132.635347,0.116664408,0,719705,87
1510561945,718503.1905,715791.1935,1133.973834,1138.089734,1132.96432,0.180807423,0,720569,88
1510561954,718591.0952,715952.3914,1132.704694,1137.244943,1133.081769,-0.049145863,0,720122,89
1510561965,718906.4762,716131.2559,1132,1136.553339,1132.775394,-0.052388192,0,720343,90
1510561973,719409,716331.3204,1132,1135.708547,1132.775394,-0.318237484,0,720529,91
1510561983,719949.4286,716458.1634,1132.138342,1134.552092,1132.469478,-0.169556827,0,720784,92
1510561993,720154.4762,716508.4796,1132,1134.052092,1132.469478,-0.330520817,0,721495,93
1510562003,720127.0476,716419.5054,1128.870283,1133.716579,1131.618886,-0.543820446,0,721034,94
1510562014,720632.0476,716428.1054,1132,1133.275303,1131.501437,-0.272214117,0,720152,95
1510562026,720943.9048,716470.043,1124.288205,1132.874218,1130.216138,-1.202963296,0,720415,96
1510562026,721142.0476,716603.1634,1132,1132.540884,1130.216138,-0.591353554,0,720415,97
1510562043,720958.8571,716695.4559,1124.288206,1132.552413,1128.907782,-1.053760419,0,721439,98
1510562056,720510.6667,716854.0194,1124.4,1132.552413,1127.641116,-1.079285747,0,720833,99
1510562063,720271.2381,717036.0473,1124.4,1132.291603,1126.896069,-1.296468865,0,720854,100
1510562075,720612.381,717248.7204,1132.704694,1132.291603,1127.013518,0.554121071,0,720758,101
1510562085,720723.4286,717468.6925,1132.704694,1131.495766,1128.416266,0.82208386,0,721500,102
1510562093,720703.7619,717606.1828,1125,1131.495766,1127.249599,1.050792826,0,723000,103
1510562105,720255.4762,717715.0043,1125,1130.68863,1127.368231,0.137142894,0,723605,104
1510562115,720304.4286,717657.6366,1125,1130.055297,1127.468231,-0.794822107,0,724740,105
1510562127,721021.9048,717713.3978,1125,1129.257477,1127.568231,-1.761072835,0,724087,106
1510562127,722265.2381,717808.4301,1125,1129.257477,1126.284116,-1.100670513,0,724087,107
1510562146,723828.7143,718049.9763,1126,1129.316202,1125.166667,0.14285712,0,722306,108
1510562159,724521.8095,718267.4796,1126,1128.732869,1125.333334,0.228571369,0,722230,109
1510562163,724635.2857,718486.3226,1130,1128.138007,1126.166667,0.828571353,0,722578,110
1510562174,723993.5714,718770.7097,1124.288205,1127.554674,1126.048034,0.32688642,0,721800,111
1510562185,723459.9524,719136.9118,1125,1127.23215,1126.048034,-0.032439579,0,721313,112
1510562194,722581.6667,719449.8903,1124.288205,1126.648817,1125.929402,-0.493450496,0,721042,113
1510562203,722418,719784.5398,1125,1126.791466,1125.762735,-0.612102545,0,721240,114
1510562213,722099.381,720118.1677,1126,1126.291466,1125.762735,-0.530754593,0,721520,115
1510562223,721327.1429,720398.9118,1126,1126.767449,1125.096068,0.350593358,0,722151,116
1510562233,720918.6667,720579.9785,1126,1126.758133,1125.381368,0.31815382,0,722644,117
1510562233,720955.4286,720664.8065,1126,1126.808133,1125.548034,0.330256365,0,722644,118
1510562256,721146.619,720754.2172,1126,1126.106759,1125.833333,0.142857144,0,723780,119
1510562264,721681.9048,720864.6172,1126,1125.464701,1126,-1.39E-13,0,723334,120
1510562274,722795.1905,721116.6796,1127,1125.548034,1126.166667,0.142857141,0,720890,121
1510562283,723500.8571,721369.6473,1127,1125.631368,1126.333333,0.228571426,0,720349,122
1510562296,723644.8095,721532.7161,1129,1125.714701,1126.833333,0.54285714,0,720221,123
1510562305,723306.619,721706.0387,1125,1125.798034,1126.666667,0.114285712,0,720935,124
1510562314,722084.6667,722033.5355,1130,1125.881368,1127.333333,0.457142856,0,720317,125
1510562328,720725.7143,722346.1183,1130,1125.881368,1128,0.571428571,0,720000,126
1510562328,720519.8095,722656.0237,1136.813026,1125.964701,1129.635504,1.630432329,0,720000,127
1510562344,720832.9524,722916.9806,1149,1125.714701,1133.302171,3.869687966,0,718501,128
1510562356,720605.9048,723125.4946,1149,1126.10735,1136.635504,5.251800748,0,720399,129
1510562369,719798.5714,723287.4022,1149,1126.10735,1140.635504,4.691056389,0,721080,130
1510562374,719398.0476,723455.3785,1149,1126.583333,1143.802171,3.758883459,0,721216,131
1510562384,719383.5714,723542.0086,1149,1127,1146.968838,1.740996243,0,720973,132
1510562394,719499.9048,723422.6495,1149,1127.901086,1149,1.71E-09,0,721016,133
1510562406,720771.1905,723213.1355,1149,1129.817752,1149,-2.86E-10,0,720961,134
1510562417,721088,722822.4043,1149,1131.734419,1149,-2.29E-09,0,721174,135
1510562428,721278.0952,722564.1978,1150,1133.651086,1149.166667,0.142857142,0,720037,136
1510562428,721228.5238,722279.8624,1149,1135.567752,1149.166667,0.085714286,0,720037,137
1510562447,721156.1429,722201.686,1158.84029,1137.484419,1150.806715,1.434327138,0,720123,138
1510562458,720586.619,722009.8473,1170,1139.317752,1154.306715,3.814881994,0,721945,139
1510562463,720226.2857,721782.3548,1158.26087,1141.151086,1155.850193,3.318418261,0,721736,140
1510562476,719944.381,721687.8473,1158.26087,1142.817752,1157.393672,2.292761961,0,721160,141
1510562489,720671.8095,721734.2301,1158.26087,1144.901086,1158.770483,0.937913105,0,719830,142
1510562489,721369.6667,721807.1785,1164.573894,1146.484419,1161.366132,-0.187124894,0,719830,143
1510562505,722075.8571,721876.0151,1158.26087,1148.887776,1161.269562,-1.135902253,0,719330,144
1510562513,721478.8571,721903.0237,1158.26087,1151.653357,1159.31304,0.180372111,0,719200,145
1510562523,720428.8571,721767.6452,1158.26087,1152.425097,1159.31304,-0.180372112,0,720251,146
1510562536,719624.8095,721577.6989,1149,1153.196836,1157.769562,-1.864097745,0,719862,147
1510562544,719406,721333.1333,1148,1153.968575,1156.059417,-3.161487955,0,720471,148
1510562554,719250.9524,720914.2903,1148,1155.266399,1153.297102,-2.609937955,0,720617,149
1510562564,719462.2381,720509.3978,1148.2,1156.038139,1151.62029,-2.345341673,0,721034,150
1510562574,719821.9048,720358.0882,1148,1156.809878,1149.910145,-1.534409975,0,721988,151
1510562583,719918.619,720298.4602,1136.1,1157.581617,1146.216667,-1.83714284,0,721781,152
1510562594,720644.0952,720312.828,1136.1,1157.581617,1144.066667,-2.725714263,0,720989,153
1510562603,721267.0476,720281.9914,1136.1,1157.41495,1142.083333,-3.077142831,0,720241,154
1510562613,721787.4286,720337.8086,1136.1,1157.331617,1140.1,-2.748571406,0,720096,155
1510562623,721955.1905,720434.4065,1136.1,1156.444926,1138.083333,-1.699999986,0,720097,156
1510562633,721351.7619,720531.2086,1146.852287,1154.611593,1137.892048,1.536040984,0,720104,157
